Lang,Text,Author,Service
en,"Visa, Mastercard, American Express or RuPay | Which credit card network would you choose?",nhl_finance,card
en,kriptomam nedalalamari vonderleyen ep president josepborrellf charlesmichel minpres giorgiameloni kajakallas wbhoekstra dutchmfa hneumannmep thijsreuten assita kanko would make rule easier could make pay k state asylum cost per year top paying traveling cost housing medical insurance amp cost max year invite someone rich people invite someone,Tweet_Marietje,insurance
en,"Gets an Amazon Pay Credit card for prime day sale.
Amazon: Offer available on ICICI Bank Credit Cards (excluding Amazon Pay ICICI Credit Card) ✨✨ #PrimeDay @amazonIN #AmazonPrimeDay2023",pyramidzilla,card
en,rishisunak starving public sector pay rise year whilst family benefitted status green card see rishisunak torygaslighting,i_pinkwolfie,card
en,davensi wealth management tip crypto investment mistake avoid traditional finance investor investor exploring web digital asset avoid common pitfall protect investment thread http co jyekso tvp,Davensi_off,investment
en,I used my HDFC Bank debit card (number: 6521xxxxxxxx7363) linked to my HDFC Bank account (number: xxxxxxxxxx6986) for the payment. The transaction reference number is 318949054543.,chirag_pal007,card
en,"@saurabh1234526 @KailasUnni4 @IqooInd @amazonIN the offer is only on icici credit card and sbi credit card, there is no sbi bank card, sbi bank only issues debit card. sbi card is different entity for credit cards.",vicksj,card
en,rt lauraloomer today aaa insurance announced renew auto home insurance policy many policy hold,Earth_medicine1,insurance
en,wwwojtekk many explanation put fiscal expansion covid without possibility spending host reason fuelled forced saving deposit buildup subsequently drawn,NagyMohacsi,savings
en,"HDFC FROUD BANK 

FROUD RS.32112
MEHSHANA BRANCH PORTFOLIO MANAGER 

Principal amount 208000₹
Paid amount 265000₹

Very bad behaviour 

Force closed loan by bank

@HDFC_Bank 
@HDFCBank_Cares 
@CarebyHDFC_HL 
@HomeLoansByHDFC 
@hdfcmf",DineshP54497391,loan
en,rt odnutcho proxie bright life insurance proxieth proxiechokun http co ffnese,DarkchocokunDCK,insurance
en,take control financial future discover lucrative opportunity trusted financial solution investment option wealth management strategy help achieve financial security success start securing future today http co nvv,RalWealth,investment
en,introducing tata aia life insurance protection priority call whatsapp offer wide range insurance type suit need industrial keyman retirement group term employer employee coverage tataailifeinsurance http co tjdq ie c,insure__tech,insurance
en,bajaj finserv could please elaborate using card keep sending kind message fed also executive called forced take loan bajajfinserv worstbajaj http co yokqhegcmm,rupeshacharya_,card
en,inc television bhavikakapoor spoken biggest financial scam india done central govt robbed transferred r crore million life insurance policy holder lic india,TheFactFindr,insurance
en,rt iciciprulife world leading batsman surya kumar got field covered batting similarly challenge,ShashankSonka13,insurance
en,dineshkar opting insurance investment purely voluntary branch provide information benefit awareness customer please register complaint http co fqrposd ji gt gt register complaint gt gt raise complaint request gt gt,TheOfficialSBI,insurance
en,@KotakBankLtd I don't know how many times do i need to share my details. Now the response time of SBI appears to be far than BIG Kotak Bank. My contact number is 8178019532. My renewed debit card was never delivered to me.,KushwantKashyap,card
en,"@InterMiles I got email from ICICI bank stating ICICI bank and intermiles no more having co brand credit card benefits now onwards???
Is it true??",digiyayavar,card
en,rt willystaley bar last night zoomers paying credit card closing every round psycho behavi,HeyItsGavin,card
en,bajaj finance downloaded app see emi card therr getting activated,shunya_0_,emi
en,rt powpow made hundred million climate awareness gore company generation investment management pay per mont,claudiobarra2,investment
en,@HDFC_Bank @HDFCBank_Cares I did 2 bill payments from your billpay portal but I have not rewards points for my both transactions. It's been 8 days. I paid via debit card for which monthly 750 rewards are eligible. Dm me to send you details. https://t.co/eg4x6olISN,iMayurr,card
en,daniela bajaj finance bajaj finserv rbisays ya hv blocked rbl bajaj credit card month back till date received card bhfl z one faltoo service software r stoneages bajaj finserv bajaj finance chandrayaan ajmer,docsarath399,card
en,rt nyebe official afford car installment r salary client ok rather save r month year,LetukaPhomolo,savings
en,rt stock precision u ethanol popular investment theme blending petrol alcoholic drink hand sanitizers antisept,saransh99,investment
en,"@ICICIBank  @RBI  

Dear ICICI Bank ,
 You had replyed that you had made not of it ,you had stolen my money adjusted in other person loan account not what the hell is the resolution,I want my money back. Such a pathetic service taken call me really you had littery hurrested me .",PrasadMarg91343,loan
en,kimaniichungwah expect inchungwa understand anything demo chair budget committee loan approved parliament vehemently rejected fuel level threaten uhuru today remember inchungwa trusted,aonyango46,loan
en,rt rwbaird bank giving need baird director investment solution explains incorporating cash strategy int,HebrewCuke,investment
en,"@ICICIBank 
I got a message""Undelivered: Card- ATM / Debit Reissue for ICICI Bank Account XX4193 sent by Blue Dart Courier, returned due to Consignee Shifted.""
I have not shifted and staying at the same place. Courier service provider very bad service",surchand204,card
en,rt shaikk bajaj finserv blocking bajaj emi card provide benefit want permanently deactivate bajaj,muhsinmustaeen,loan
en,rt iobindia multiply saving multiply gain iob fixed deposit lock money watch grow steadily http,kkspu01,savings
en,rt odnutcho preview chokun focus proxie bright life insurance proxie,gggreat7,insurance
en,rt rupert debare tarikcyrilamar ukrainian soldier dying drove jingoist video game post imperialist u,MarcelduCiel,card
en,"@AxisBank Fraud Bank of India is @AxisBank @AxisBankSupport 
This people's cut my loan amount of RS 448 and I have 500 in my account the loan amount is cut and axis fraud Bank also make a charge of 400 of bounce emi that is there type of harsement of cust. loan account no. PPR014707865660",artiChoudh71256,loan
en,No solution provided by axis bank nd there customer executive..my emi is 448 and I have 500 balance in my account but they charge 400 for bounce of emi and after cutting of emi 448 my remaining amount of loan is 896 but the loan account show the amount of 1789 they charge 1789,artiChoudh71256,loan
en,kitco news hong kong security investment institute hksi announces offer digital asset wealth management training course help educate trader region hong kong offer digital asset training crypto trader,OxPayne_PROM,investment
en,bajaj finserv already paid emi showing due account mlsjg,RizwanA59772466,emi
en,"@TheOfficialSBI @CGMSBIMah 
Thankful to State Bank of India for great experience of taking business loan. Special thanks to Manager Ambekar madam Ratnagiri branch, and Chiplun sbi branch Manager Pevekar sir and Assistant Manager Sonu madam for helping me in my business.",Sairaj9999Sk,loan
und,https://t.co/E9FnHly9YF,pg886663,card
en,"@TheOfficialSBI SBI, the largest bank in India needs to get better phone connections. Calling the Kandivali branch since 5 days and either everyone is too busy or out on  lunch so no one picks up the calls. Email sent for loan closing but no action taken/ nor acknowledged. Help",EricC2004,loan
en,icicilombard fraud insurance company dont choose cost worst customer beware icici lombard gic,Advocate_Hem,insurance
en,"RT @Mysterydealz: MSI Modern 15, AMD Ryzen 7-7730U, 40CM FHD 60Hz Laptop (16GB/1TB NVMe SSD  @52490

Link : https://t.co/2ZortO1DrQ

Apply…",KvkDarling_,card
en,Axis bank Personal Loan Apply 5lak approved  full details in Tamil @Tech... https://t.co/7VJQ7eeHfr via @YouTube https://t.co/axOK8prtSg,TechandTechnics,loan
en,bajaj finance urgent response needed paid loan remain open balance r waiting month close bjaja keep giving excuse contacted customer care say hour frustrating customer deserve better service,santoshmishra11,loan
en,rt annyeongonglee proxie bright life insurance proxieth proxieonglee http co eg g,minminnsuga,insurance
en,"Esteemed @AshwiniVaishnaw Sir
Now in #Train-Tragedy,Crores of rupeesdamagedby#Anti Nationals. My son Dr SANJAY RAJ had availed #education Loan to be a doctor from PNB,Mahatab Road,Cuttack.He worked hard to save lives at #DHH,https://t.co/Bjwlc8xMmg bank tortures.@PMOIndia.Help",drrkmohanty,loan
en,"A world of Personal Loans for all your passion calling needs.
For more details, visit: https://t.co/16VITWbq0a
#IDBIBank #PersonalLoan #PassionCalling https://t.co/3iyS6ar0Gx",IDBI_Bank,loan
hi,@drunk_chihuahua Are bhai mai aaj SBI gaya tha debit card ka otp nhi aara mc kuch help nhikiye card nhi chalra aag laga dunga ek din bank mai mai nhi jaara udhar,NaahhMan,card
en,rt standardbankza make saving habit stand chance winning opening deposit amp c apply http co uxdalntyzf sblove,nitzandhannahj,savings
en,rt stealthygeek gop want government built biblical value dems woot feeding poor gop wait dems healing sick,KudzuCat,loan
en,"SBI, ICICI Bank RuPay Card Holders Can Now Link Their Credit Cards With BHIM https://t.co/1BnNRarUAu",Paiganesh905Pai,card
en,rt powpow made hundred million climate awareness gore company generation investment management pay per mont,voisin_anne,investment
en,rt sbigeneral sbi general insurance support vehicle owner affected flood offer suraksha bharosa dono sbigenera,MallanVenkatesh,insurance
en,rt odnutcho preview chokun focus proxie bright life insurance proxie,cutiebabe_nj,insurance
en,"@HDFC_Bank 
We booked flights using HDFC card from cleartrip using no cost emi option.just now we received mail from loan department of HDFC who made emis more than amount paid to cleartrip.Why this is happening pls clarify.this is cheating that on no cost emi charges changed",POOJAGU04222710,loan
en,@karna_ocw @RBI The same was happening with Axis Bank Credit card.,InvestWithRishi,card
en,marginal cost fund based lending rate introduced help borrower availing various loan including home loan benefit rbi rate cut learn mclr based loan visit http co hpl ndfod bajajfinserv bajajfinance,Bajaj_Finserv,loan
en,tata crucible b bajaj allianz general insurance tatacrucibleweekly tatacrucible weeklycontest contestalert tatacrucibleweeklycontest curiousminds tata crucible tagging friend stellar suri rajiarshita roypriyanka,MrD_Shukla,insurance
en,hi yet receive detail request share help u assist better regard tata aig general insurance co ltd,TATAAIGIndia,insurance
en,@Gourabguru We regret the inconvenience. We understand your concern related to the Flipkart Axis bank credit card and would like to clarify this for you. (1/4),flipkartsupport,card
en,"RT @41_times_32: @shift_in2_turbo Let's also not forget the '05 bankruptcy bill that he pushed for as a Senator, that bill also contributed…",aacoek,loan
en,"@CaresHdfc6117 @HDFCBank_Cares i have taken a loan from you, and ecs was getting debited from my ICICI account, my loan got closed in hdfc bank 5 month back, and ICICI just charged me 18000 rs for failed ecs, where are they from these many days why did I not get about this payment earlier",harishshet3,loan
en,tyymoss prodfulcrum agree w bro people makin excuse uzi baby pump yachty etc u gotta play ur card right take told given society,suprmedreams,card
en,insure health hdfc ergo optimum secure health insurance get restore benefit offer restoration base sum insured enjoy rain without worrying health http co pymvzcxkz http co yr qi jy,P4432,insurance
en,rt deny bajajallianz pmoindia irdaindia bajaj allianz cheated selling insurance untarined irda unauthorise,Deny4me,insurance
en,@Yishay__Majors @shift_in2_turbo Administered student loan forgiveness? You mean that thing that got struck down cuz Biden had no say? Um no. It got blocked which he knew likely happens with a stacked GOP court. False promice that he could cancel student loans when it was up to the supreme court and/or congress.,CanadianCitiz19,loan
en,rt tndiprnews collector told allow splitting ration card income scheme set start cmmkstalin tndipr cmotamilnadu,PRO_Theni1,card
en,"@jayeshprajapat9 Hi Jayesh, we sincerely regret the inconvenience. We appreciate your interest in expanding our relationship with HDFC Bank. HDFC Bank offers you quick and convenient options to apply for a Loan. We request you to visit the below steps to view the various Loans offered and to",HDFCBank_Cares,loan
en,rahul middleclassnpa bajaj finserv rbi settlementguru bajaj dangerous covid literally seen people cry pay charge emis purchase emi card business model trap lower income group extract heavy fee stay away word bajaj shit,aknaivli,card
en,please make mistake buy insurance reliance reliancegenin paytmtravelcare vijayshekhar hdfclife flyspicejet licindiaforever finminindia ft financialxpress ficci india bseindia nseindia pnbmetlife maxlifeins iciciprulife ani http co prsyd py,Soumitra4you,insurance
en,"RT @Mysterydealz: MSI Modern 15, AMD Ryzen 7-7730U, 40CM FHD 60Hz Laptop (16GB/1TB NVMe SSD  @52490

Link : https://t.co/2ZortO1DrQ

Apply…",kowshikmurali,card
en,rt stock precision u ethanol popular investment theme blending petrol alcoholic drink hand sanitizers antisept,Murari_mohan,investment
en,dear sir part policy fraud happened agent aditya birla life insurance company lied told sir give loan r lakh buy policy kamleshdrao abcapital adityabirlagrp mangalam,Pankaj529335,insurance
en,"Get a FREE 1-Year Times Prime Membership with the following eligible credit cards:

- Axis Bank ACE Credit Card
- HDFC Regalia First Credit Card
- Air India SBI Signature Credit Card
- SBI Pulse Credit Card
- EazyDiner IndusInd Bank Credit Card
- IndusInd Bank Legend Credit Card… https://t.co/ymt840Dig8",dealztrendz,card
en,"RT @GreenFrogPub: @Yishay__Majors @shift_in2_turbo My bottom line (America's God) is telling me that Bidenomics sucks, literally sucks.

In…",BentleytheDog,loan
en,creditcardz kindly tell u rbl bajaj finserve super card charge heavy interest converting emi holding tell u sbi card prime signature also,Impratik777,emi
en,rt jaishriramtn nsitharamanoffc corporate tax reduced percent personal income tax percent bcci non taxable b,gopaleminent,insurance
en,"@AxisBank Fraud Bank of India is @AxisBank @AxisBankSupport 
This people's cut my loan amount of RS 448 and I have 500 in my account the loan amount is cut and axis fraud Bank also make a charge of 400 of bounce emi that is there type of harsement of cust. loan account no. PPR014707865660",artiChoudh71256,loan
en,rt davensi davensi wealth management tip crypto investment mistake avoid traditional finance investor invest,Guillau04083206,investment
en,"I don't know what is the problem of ICICI Bank , every day I am receiving 4-6 calls and asking for credit card.
Could you stop this timepass. 
@ICICIBank",AkshayP34399094,card
en,"Paytm to stop wallet load via debit card

Got this Paytm notification

Now we cant use HDFC Millennia debit card and RBL Signature+ debit card to get 1% cashback on Paytm

Time to use Amazon full kyc wallet and transfer to bank/cc bill pay via Amazon wallet UPI

 #ccgeek #ccgeeks https://t.co/PWzXvX1lmo",AbhiChtrj,card
en,"@ICICIBank 
I had applied for re issue of debit card as my debit card was blocked by the bank. I received message "" Missed You: We attempted delivery of Card- ATM / Debit Reissue for ICICI Bank Acc XX4193 by Blue Dart Courier, AWB 31609078023 on 04-JUL-23.""",surchand204,card
en,dang cashback paying loan early gcash,greatboops,loan
en,marschattacls leehammondmma danawhite thenotoriousmma ufc ultimatefighter seanshelby john kavanagh sharpest rook sure think mcgregor chandler fight happens connor far chaotic commit weight class think card plus usada criminal charge know else amp think know,NingBland,card
en,rt mysterydealz oneplus r icici credit card http co ijileuwq k,GritupCareers,card
en,money ki baat intaractive session held th july nuvama wealth management smart new investment opportunity money ki baat nuvama biigbull meeting partner http co arillly qw,biigbull_in,investment
en,rt ribbonorii card labeled cute foul http co ouq xrux,qopiluu,card
en,rt odnutcho preview chokun focus proxie bright life insurance proxie,Nuttazuda,insurance
ta,"SBI வட்டி விகிதத்தை உயர்த்தியது.. கடன் வாங்கியவர்கள் ஷாக்..!

#SBI #Interest #MCLR #EMI #கடன்

https://t.co/3c9Od6hOqC",GoodreturnsTa,loan
en,"ASUS Vivobook Ryzen 5 Laptop (16 inches, 16GB, 512GB, Win 11, MS Office 2021, 2K Display, AMD Radeon Graphics)

Deal Price: Rs 51,990

HDFC/ICICI Bank Credit Card Price: Rs 48,990

Offer Link: https://t.co/jOhgh9EKLl

#Croma - A Tata Enterprise (Wishlist Sale)

#Ad",discountsdeck,card
en,"@AxisBank @AxisBankSupport @axis credit card 
Thank you for applying for Axis Bank Flipkart Super Elite Credit Card. Your application ID is C1-00000039545429-C1 and an sms confirming application status, will be sent shortly.

I applied for credit card on dated 28th may",mjoshi789,card
en,theofficialsbi insurance mandatory open saving account sbi,adityaraj228,insurance
en,rt nicobloodlust part steve looking around room see jay waving smile wave back,steddiemylovers,card
hi,@MahindraFin ₹12200 के loan emi पर अब lockdown loan moratorium के  नाम पर ₹20225 लिया जा सीधे तौर पर ₹8025 intrest के नाम पर लिया जा रहा हमें इसके बारे में पहले जानकारी नहीं दिया गया था अब mahindra finance के द्वारा घर आ के जबरदस्ती किया जा रहा है। #MahindraFinance @jagograhakjago @RBI,Suraj40135068,loan
en,bajaj finserv team check person saying unauthorised app hacking credit card employee taking name take action http co mb rcuk,iamitsrivastav,card
en,fixed deposit fixed maturity plan debt fund investment option choose based need click learn difference http co znqutcxhvf bajajfinserv bajajfinance,Bajaj_Finserv,investment
en,@turbo_beef @single_spacer @JimMuessig @kylegriffin1 The Student Loan forgiveness that Biden put in place before the corrupt Supreme Court ruled against cost LESS than the PPP loans did,ChristinaHall99,loan
en,mileslunn voiceoffranky according ernst young highest rate taxable income exceeding sensible money management say say year relatively high income would give taxpayer significant amount wealth cud provide significant amount investment,oilngas007,investment
en,"@AxisBankSupport @TheOfficialSBI @IOBIndia @ICICI @HDFC_Bank @RBI
#FedbankFinancialServices
#Tirunelveli Branch. Staffs are approved loan by
No need of the applicant, talk with them, interact with them use the innocent of unaware peoples are their targets",RAJADURAI_B_E,loan
en,abcapital irdaindia shameonyou abcapital please help year old woman abpanandatv abpnews zeenews bbcbreaking aditya birla sun life insurance abcapital issued pension policy using fraudulant tactic year old woman life pension,old_woman_72,insurance
en,theofficialsbi wonderful work sbi prem nagar ambala team thanku much support regarding insurance claim information,KheterpalVikas,insurance
en,tata crucible an b bajaj allianz general insurance followed amp participated fb instagram twitter linkedin platform amp subscribed youtube channel tatacrucibleweekly tatacrucible tatacrucibleweeklycontest curiousminds tata crucible tag shwetas k guj rujuta rao http co iiui zhy x,SubhraBera17,insurance
en,pashish hi ashish highlighted concern team customer service representative connect shortly regard sbi general insurance,sbigeneral,insurance
en,rt myromancelist way p max slow blinked said nong nat free life insurance like little cat telling nanat,FongHuenMother,insurance
en,"@Shafathahmed_ Hi Shafath, we regret to inform you that we are unable to process your request based on the scanned attachment / email received at our end. At HDFC Bank, we are committed to maintaining the security of your credit card information and in line with our commitment to protect your",HDFCBank_Cares,card
en,"Get a FREE 1-Year Times Prime Membership with the following eligible credit cards:

- Axis Bank ACE Credit Card
- HDFC Regalia First Credit Card
- Air India SBI Signature Credit Card
- SBI Pulse Credit Card
- EazyDiner IndusInd Bank Credit Card
- IndusInd Bank Legend Credit Card… https://t.co/ymt840Dig8",dealztrendz,card
en,"@ShivAroor DND is willfully ignored by rascal call centres. Govt turns a blind eye. Seems call centres are an industry worth Crores. Chinese piggu banking ""I am from HDFC/ICICI/Axis Bank/Bajaj Finance, I don't know your name, do you want a loan?""",ragub6,loan
en,apart mr grover may request intervention halting intrusive cold call bharat pe offering loan track overtake bajaj fin somehow merging one big nuisance http co f zsit tx,FoolzWizdom,loan
en,"@AxisBank Fraud Bank of India is @AxisBank @AxisBankSupport 
This people's cut my loan amount of RS 448 and I have 500 in my account the loan amount is cut and axis fraud Bank also make a charge of 400 of bounce emi that is there type of harsement of cust. loan account no. PPR014707865660",artiChoudh71256,loan
en,"@HDFCBank_Cares @HomeLoansByHDFC 
Are there any plans from HDFC to launch home loan Over draft facility? I am HDFC home loan customer and wants to make a decision if I should continue with HDFC post merger or move my loan to a bank providing the facility.",Priyadarshan85,loan
en,"Dear @HDFC_Bank ,

I am fed up with ur services, i hv maintained sufficient balance in my acc. on due date of my Home loan, but if it not deducted from my acc. From your end then how can you asking for Extra charges. 
My credit score is degrading.  Don't want to continue with you",VirasingMahadik,loan
en,rt gganeshhh rub salt middle class wound nirmala ji style public like new scheme people cannot dr,deshbhakt_dara,loan
en,"Hon'ble CM @Naveen_OdishaSir @AshwiniVaishnaw Sir 
Now in #Train-Tragedy,Crores of RupeesDamagedBy #Anti Nationals. Son Dr SANJAY RAJ Availed #education Loan to be a Doctor from PNB,Mahatab Road,Cuttack.He worked hard to save lives at #DHH,https://t.co/Bjwlc8xMmg Bank Tortures .",drrkmohanty,loan
en,rt xvxeos insurance company changed primary health provider given full physical day one full cardio keptsecretx,ManhoodGR,insurance
en,"rest was all paid. I request icici bank to please refund this charges as a one time exception.

Registered email : abhaysidana634@gmail.com

Register phone : 9877356893

 Credit card last 4 digit : 6009
@amazonIN @amazonpay @ICICIBank",abhay_sidana,card
en,rt terraloire big bank multiple leader sit hospital board toronto pwc kpmg mckinsey multiple investment,cancelproof,investment
en,insure health hdfc ergo optimum secure health insurance get restore benefit offer restoration base sum insured enjoy rain without worrying health http co mrq neghnl http co hk sn nn,pathela_rakesh,insurance
en,rt pashish without consent sbi imposed insurance amp debited c without briefing instead insurance home loan,ajaysiddhu01,insurance
en,"RT @zahidpatka: Kudos PM @narendramodi Ji Govt 
#CashlessIndia 
In a first, credit card spend crosses Rs 1.4 trillion-mark in May: RBI data…",MahaBJPMinority,card
en,"RT @santum0018: Having serious security issues with ICICI Bank credit cards.

Was doing transaction with my icici card in amazon put a wron…",VaibhavVinayaka,card
hi,@CIBIL_Official sar Mera loan account farji Kha Raha hai Mera kisi vajah se technical Ishu ke Karan main apne mobile se login nahin kar pa raha hun aap mujhe jald help Karen main ek loan KCC UCO Bank mein karvaya hun time per re payment bhi karta hun  bhi dusra account businessma,DeepakK4268823,loan
en,myindusindbank taken mobile n financed dmi finance v deposited al emi timely properly still bank dedcuted emi bouncing charge frm month regularly complaitn dmi said bank responsible ask bank take cheque bounce memo contact,TarunKu11852835,emi
en,june thelaurapoirot worry card come,bronwenlthomas,card
en,@harinarayananpc @IqooInd Hey.. I also prebooked the phone seeing the SBI card offer. Later today I came to know that 'SBI card' and 'SBI bank' are different. Most of us have the normal SBI Bank card. Also they are scamming by saying 'credit/debit cards'. We only get instant discount on credit cards only.,KailasUnni4,card
en,people happy get even one damn card like paywall people priority spending money card men moaning,youhvo,card
en,public interest never buy insurance reliance general insurance reliancegenin thief never get proper claim,ThatsSoMayank,insurance
en,bajaj finance personalfinance miss tax break tip maximising saving filing itr cnnnews read http co xrzhjz w bajajfinserv bajajfinance financialliteracy,Bajaj_Finance,savings
en,theofficialsbi yesterday visited sbi seelampur delhi branch open svngs bank accnt counter ask open new zero balance saving account told deposit amount deducted compulsary life insurance come accnt,Pardeep6319,insurance
en,"@AxisBankSupport @AxisBank @RBI
Axis Bank doing spam by calling every 3-4 hrs for personal loan, credit card offers, etc etc.
I have already told number of times to put my number on DND for all promotional activities but that just doesn't happen.
I feel like closing my A/C. https://t.co/JVBZmmceEB",honeyagarwal8,loan
en,need money expense including medical treatment aditya birla sun life insurance abcapital agent mr pramod jha resident jhansi committed fraud help aditya birla sun life insurance smartcitygwalior branch employee,old_woman_72,insurance
en,"Dear @HDFC_Bank thank you for your pathetic process. My decade old credit card was blocked yesterday coz you thought some suspecious activity MAY happen. You did it right on the Amazon prime day, so I did save my money. Top of that you did not even bother to inform me",sushmitabsingh,card
en,allianz pnb life insurance inc report percent year year growth posting p billion gross written premium income outperforming industry securing top position local insurance sector bankeroinsurance http co pyuk wkez,phbankero,insurance
en,toronto live webcast life insurance agent course monday friday winter special includes free additional class exam prep workshop register http co ajiyoayopp choose life insurance one minute video http co zusneqpyag,wwwREMICca,insurance
en,abdulrehman dancing getting loan logical plan pay back interest,Akshahani88,loan
en,"🔥🔥iQOO 9T 5G Legend, 8GB RAM, 128GB Storage  @40,049

Buy Here : https://t.co/ESMs7HMZgQ

Bank offer : 1950 off with SBI &amp; ICICI Bank Credit card https://t.co/nVxfsUkYOz",SS_Tricks_,card
en,"Dear @ICICIBank I have not taken any loan/Credit card/Kisan Credit card from your bank in ICICI bank.  Still why are you showing my details in the civil report? Because of your wrong report, my civil score has gone bad.
@CIBIL_Official
Please do needful",Chhotuhisua1,loan
en,rt xvxeos insurance company changed primary health provider given full physical day one full cardio keptsecretx,Sexxymundaa02,insurance
en,"@shift_in2_turbo It doesn't it's just another tactic to mine votes. Like Roe, Student loan relief, M4A and all the other stuff they have zero intention of doing. Mirrored on the other end by reds.",kellyfthompson,loan
en,get pnb customer id http co iyimvip kd talkersmoney finance money investing success business entrepreneur rich stock sensex nifty mutualfunds insurance bank personalfinance financecoach,Talkers_Money,insurance
en,receive insurance amount refund last year told hdfc time taking loan fully unsatisfied hdfcbank care homeloansbyhdfc hdfc bank hdfclife,GouravG1993,insurance
en,I have a hunter investigation pending which i never requested on dated 30-04-2021. Also at that time I didnt had SBI bank account. And after this incident i had applied home loan which was sanctioned. Tell me the procedure how to resolve the issue. @TheOfficialSBI @RBI,pardeepkmail,loan
hi,"#bank - देश के सबसे बड़े सरकारी बैंक भारतीय स्टेट बैंक (SBI) ने अपने ग्राहकों को झटका दिया है। बैंक ने आज से MCLR बढ़ा दिया है। ऐसा होने से SBI से होम लोन और कार लोन लेना महंगा हो जाएगा। आपके घर और कार लोन की EMI बढ़ जाएगी। 

 👇
https://t.co/GHrfPgwF0O

#sbi #banking https://t.co/5hYMkIS4FY",MoneycontrolH,loan
en,rt nctdreamcenter nct dream melon spotlight video http co aixpvvccdh nctdream istj nctdream http co xv u hrvr,EMI_NANA_HOLIC,emi
hi,@anandmahindra ₹12200 के loan emi पर अब lockdown loan moratorium के नाम पर ₹20225 लिया जा सीधे तौर पर ₹8025 intrest के नाम पर लिया जा रहा हमें इसके बारे में पहले जानकारी नहीं दिया गया था अब mahindra finance के द्वारा घर आ के जबरदस्ती किया जा रहा है। #MahindraFinance @jagograhakjago @RBI,Suraj40135068,loan
en,"@TheOfficialSBI @RBI @rashtrapatibhvni am closed my all bank accounts in sbi because i am applied for education loan 8 months ago and travelled to bank more than 70 times
but still education loan not approved 
i am leaved the college 1 month back 
Thankyou for the best service 🙏",gGSWkMChBvmgI0k,loan
en,rt stealthygeek gop want government built biblical value dems woot feeding poor gop wait dems healing sick,evmino,loan
en,"@gauri_1085 @ICICIBank @gauri_1085  Hi, we have made a note of your loan account number. Our official will get in touch with you. Regards, Team ICICI Bank",ICICIBank_Care,loan
und,"@rssurjewala https://t.co/QybWwvdg0w

https://t.co/eLEkZi3g5U

https://t.co/x62xy1CKOR

https://t.co/MKUgqGyZBW

https://t.co/D5lykrxEm0

https://t.co/bzVp2Bl5HO

https://t.co/lFmmDPlPht

https://t.co/S7ZyXPSnWk",MGajanan840573,loan
en,"@HDFC_Bank I have a loan with HDFC Ltd, can I talk &amp; resolve my problems with HDFC BANK now ?",AnirbanRoychou5,loan
en,rt old woman please help year old woman aditya birla sun life insurance abcapital issued pension policy using fraudul,Saurabh_Jhansi,insurance
en,nsitharamanoffc corporate tax reduced percent personal income tax percent bcci non taxable medical insurance premium lic premium come gst,JaishriramTN,insurance
